case Id,activity,timestamp
1-109135791,Queued,1/11/2006 4:49:42 PM
1-109135791,Accepted,3/15/2012 12:53:52 PM
1-109135791,Accepted,3/15/2012 12:56:17 PM
1-109135791,Accepted,3/15/2012 1:09:05 PM
1-109135791,Completed,3/15/2012 1:11:33 PM
1-147898401,Accepted,11/7/2006 11:00:36 AM
1-147898401,Accepted,11/7/2006 2:05:44 PM
1-147898401,Accepted,12/2/2009 3:24:32 PM
1-147898401,Accepted,9/3/2011 7:09:09 AM
1-147898401,Accepted,1/20/2012 11:23:24 AM
1-147898401,Completed,1/20/2012 11:23:27 AM
1-165554831,Accepted,3/20/2007 10:06:25 AM
1-165554831,Accepted,12/2/2009 3:24:31 PM
1-165554831,Accepted,9/3/2011 7:10:53 AM
1-165554831,Accepted,1/18/2012 9:52:41 AM
1-165554831,Completed,1/18/2012 9:52:43 AM
1-172473423,Accepted,5/10/2007 5:21:54 PM
1-172473423,Accepted,12/2/2009 3:24:33 PM
1-172473423,Accepted,9/3/2011 7:10:59 AM
1-172473423,Accepted,1/18/2012 9:20:53 AM
1-172473423,Completed,1/18/2012 9:21:10 AM
1-182640781,Accepted,7/25/2007 3:21:05 PM
1-182640781,Accepted,12/2/2009 3:24:32 PM
1-182640781,Queued,8/25/2010 12:13:01 PM
1-182640781,Accepted,9/5/2011 9:24:13 AM
1-182640781,Accepted,11/14/2011 5:10:25 PM
1-182640781,Accepted,1/3/2012 12:30:35 PM
1-182640781,Completed,1/3/2012 12:31:53 PM
1-230541365,Accepted,5/7/2008 7:58:51 PM
1-230541365,Accepted,10/6/2008 4:44:37 PM
1-230541365,Accepted,12/2/2009 3:24:34 PM
1-230541365,Accepted,9/2/2011 12:27:50 AM
1-230541365,Accepted,9/2/2011 12:27:55 AM
1-230541365,Accepted,1/20/2012 8:53:32 AM
1-230541365,Completed,1/20/2012 8:53:35 AM
1-236817141,Accepted,6/4/2008 1:02:18 PM
1-236817141,Accepted,12/2/2009 3:24:34 PM
1-236817141,Queued,8/25/2010 12:06:45 PM
1-236817141,Accepted,9/3/2011 8:02:11 AM
