timestamp,activity
7/15/2015 2:08,A
7/15/2015 2:09,C
7/15/2015 2:10,E
7/15/2015 2:11,A
7/15/2015 2:12,C
7/15/2015 2:12,C
7/15/2015 2:13,E
7/15/2015 2:13,E
7/15/2015 2:15,B
7/15/2015 2:15,B
7/15/2015 2:17,D
7/15/2015 2:17,D
7/15/2015 2:26,A
7/15/2015 2:27,B
7/15/2015 2:29,C
7/15/2015 2:30,E
7/15/2015 2:32,C
7/15/2015 2:33,E
7/15/2015 2:35,B
7/15/2015 2:37,A
7/15/2015 2:37,D
7/15/2015 2:38,B
7/15/2015 2:40,D
7/15/2015 2:48,A
7/15/2015 2:49,C
7/15/2015 2:50,E
7/15/2015 2:52,B
7/15/2015 2:54,B
7/15/2015 2:56,D
7/15/2015 3:03,A
7/15/2015 3:04,C
7/15/2015 3:05,E
7/15/2015 3:07,D
7/15/2015 3:10,A
7/15/2015 3:11,B
7/15/2015 3:12,A
7/15/2015 3:13,D
7/15/2015 3:13,C
7/15/2015 3:14,E
7/15/2015 3:16,D
7/15/2015 3:21,A
7/15/2015 3:22,B
7/15/2015 3:24,C
7/15/2015 3:25,E
7/15/2015 3:27,C
7/15/2015 3:28,E
7/15/2015 3:30,B
7/15/2015 3:32,C
7/15/2015 3:32,A
7/15/2015 3:33,E
7/15/2015 3:33,B
7/15/2015 3:35,B
7/15/2015 3:35,C
7/15/2015 3:36,E
7/15/2015 3:37,B
7/15/2015 3:38,D
7/15/2015 3:39,C
7/15/2015 3:40,E
7/15/2015 3:42,B
7/15/2015 3:44,C
7/15/2015 3:45,E
7/15/2015 3:47,D
7/15/2015 3:48,A
7/15/2015 3:49,C
7/15/2015 3:50,E
7/15/2015 3:52,D
7/15/2015 3:55,A
7/15/2015 3:56,A
7/15/2015 3:56,B
7/15/2015 3:57,C
7/15/2015 3:58,E
7/15/2015 3:58,D
7/15/2015 4:00,B
7/15/2015 4:02,C
7/15/2015 4:02,A
7/15/2015 4:03,E
7/15/2015 4:03,B
7/15/2015 4:05,B
7/15/2015 4:05,B
7/15/2015 4:07,B
7/15/2015 4:07,C
7/15/2015 4:08,E
7/15/2015 4:09,D
7/15/2015 4:10,C
7/15/2015 4:11,A
7/15/2015 4:11,E
7/15/2015 4:12,B
7/15/2015 4:13,D
7/15/2015 4:14,C
7/15/2015 4:15,E
7/15/2015 4:17,C
7/15/2015 4:18,E
7/15/2015 4:20,D
7/15/2015 4:23,A
7/15/2015 4:24,B
7/15/2015 4:26,D
7/15/2015 4:40,A
7/15/2015 4:41,B
7/15/2015 4:43,A
7/15/2015 4:43,C
7/15/2015 4:44,B
7/15/2015 4:44,E
7/15/2015 4:46,D
7/15/2015 4:46,B
7/15/2015 4:47,A
7/15/2015 4:48,D
7/15/2015 4:48,B
7/15/2015 4:49,A
7/15/2015 4:50,D
7/15/2015 4:50,C
7/15/2015 4:51,E
7/15/2015 4:53,C
7/15/2015 4:54,E
7/15/2015 4:56,D
